Column1;aX;aY;aZ 
;-430;-725;554
;-430;-725;554
;-430;-725;554
;-275;-820;672
;-275;-820;672
;-275;-820;672
;-267;-804;621
;-267;-804;621
;-267;-804;621
;-323;-742;606
;-310;-744;504
;-310;-744;504
;-420;-608;494
;-420;-608;494
;-420;-608;494
;-715;-739;584
;-715;-739;584
;-715;-739;584
;-647;-857;685
;-647;-857;685
;-380;-845;715
;-36;-820;721
;204;-826;548
;204;-826;548
;4;-894;449
;4;-894;449
;4;-894;449
;-168;-652;416
;-168;-652;416
;-168;-652;416
;-269;-750;392
;-269;-750;392
;-259;-786;444
;-355;-989;530
;-355;-989;530
;-355;-989;530
;-627;-921;440
;-627;-921;440
;-627;-921;440
;-463;-917;438
;-463;-917;438
;-463;-917;438
;-323;-856;492
;-323;-856;492
;-323;-856;492
;-238;-753;475
;-238;-753;475
;-238;-753;475
;-268;-594;425
;-268;-594;425
;-268;-594;425
;-120;-594;370
;-120;-594;370
;-120;-594;370
;-230;-719;365
;-230;-719;365
;-297;-725;413
;-270;-781;434
;-312;-820;441
;-312;-820;441
;-311;-733;408
;-311;-733;408
;-311;-733;408
;-222;-735;385
;-222;-735;385
;-222;-735;385
;-122;-893;368
;-122;-893;368
;-40;-970;365
;-38;-962;405
;-38;-962;405
;-38;-962;405
;3;-1009;328
;3;-1009;328
;3;-1009;328
;85;-1074;287
;85;-1074;287
;169;-943;291
;169;-943;291
;169;-943;291
;170;-646;287
;170;-646;287
;170;-646;287
;183;-535;483
;183;-535;483
;183;-535;483
;178;-507;661
;178;-507;661
;178;-507;661
;4;-482;888
;4;-482;888
;4;-482;888
;-146;-512;999
;-146;-512;999
;-138;-435;929
;-14;-176;892
;-14;-176;892
;-14;-176;892
;-148;-487;1034
;-148;-487;1034
;-148;-487;1034
