aX,aY,aZ,gX,gY,gZ
-1.896,-1.580,-6.905,-2.565,4.546,21.138
-0.713,-1.642,-7.638,-3.361,11.171,24.072
-0.713,-1.642,-7.638,-3.361,11.171,24.072
-1.839,-2.265,-8.083,-2.040,10.452,14.202
-1.944,-1.958,-8.054,-0.525,5.595,17.000
-1.853,-1.135,-7.824,-1.865,1.477,20.516
-1.853,0.709,-7.355,-2.895,0.816,19.972
-1.853,0.709,-7.355,-2.895,0.816,19.972
-3.769,1.781,-6.546,-0.427,-6.139,14.727
-4.980,1.451,-7.489,-3.575,3.808,9.403
-5.172,2.370,-7.398,-8.607,17.796,0.272
-6.354,3.314,-7.499,-7.616,17.952,-2.584
-7.408,3.860,-7.614,-1.865,7.616,0.971
-7.408,3.860,-7.614,-1.865,7.616,0.971
-5.770,4.358,-7.456,0.602,5.693,7.849
-5.708,3.381,-7.561,2.934,11.288,3.944
-4.573,3.701,-8.500,3.750,16.398,-0.194
-4.803,2.868,-9.242,2.642,18.224,-1.749
-4.937,2.658,-9.266,0.971,15.523,-1.554
-4.913,2.423,-8.820,0.155,8.490,2.021
-4.913,2.423,-8.820,0.155,8.490,2.021
-4.233,2.260,-8.121,-1.418,4.197,5.187
-3.716,2.006,-8.059,-1.729,4.449,5.226
-3.352,1.537,-8.279,-0.253,2.370,5.576
-3.045,1.269,-8.715,1.729,0.933,6.353
-3.045,1.269,-8.715,1.729,0.933,6.353
-2.380,0.886,-9.136,-0.738,1.710,5.770
-2.346,0.757,-9.194,-1.477,2.429,4.663
-2.265,0.464,-9.309,-1.768,2.429,4.818
-2.131,0.431,-9.242,-0.272,1.341,5.265
-2.121,0.354,-9.304,0.563,0.797,5.149
-1.920,0.407,-9.213,0.058,1.651,3.730
-1.863,0.455,-8.954,-1.205,1.477,1.982
-1.958,0.421,-8.571,-1.671,0.874,0.641
-2.026,0.364,-8.433,-1.185,0.913,-0.214
-2.026,0.364,-8.433,-1.185,0.913,-0.214
-2.270,0.129,-8.543,0.874,2.254,-0.194
-2.356,-0.048,-8.720,1.243,1.690,-0.758
-2.265,-0.220,-9.017,0.253,2.603,-2.390
-2.298,-0.345,-9.165,-0.583,3.847,-3.381
-2.413,-0.464,-8.959,-1.069,3.245,-3.070
-2.356,-0.225,-8.907,-0.777,2.234,-1.690
-2.389,-0.182,-8.744,0.039,1.107,-1.341
-2.461,-0.187,-8.739,0.039,0.777,-1.632
-2.308,-0.139,-8.528,-0.408,1.496,-2.176
-2.322,-0.168,-8.547,-0.874,2.662,-2.331
-2.322,-0.168,-8.547,-0.874,2.662,-2.331
-2.284,-0.072,-8.605,0.019,2.157,-1.651
-2.428,-0.172,-8.667,1.477,0.039,-1.069
-2.418,-0.364,-8.763,1.632,0.253,-0.525
-2.447,-0.326,-8.811,1.127,1.243,-0.894
-2.351,-0.321,-8.892,0.311,2.603,-0.933
-2.303,-0.292,-8.935,0.855,1.651,-0.991
-2.160,0.019,-9.108,0.272,2.662,-1.224
-2.270,-0.369,-9.041,0.097,2.118,-0.797
-2.313,-0.297,-9.141,0.622,0.894,-0.583
-2.289,-0.206,-8.921,0.233,0.466,0.175
-2.461,-0.421,-9.017,0.797,-0.350,0.602
-2.461,-0.421,-9.017,0.797,-0.350,0.602
-2.169,-0.148,-8.878,-1.166,2.409,0.350
-2.380,-0.436,-8.835,-0.680,-0.039,0.427
-2.289,-0.206,-8.682,-0.058,-0.291,0.991
-2.184,-0.029,-8.490,-0.389,0.233,1.243
-2.284,-0.172,-8.624,-0.097,0.214,1.069
-2.155,-0.110,-8.763,0.291,2.118,1.379
-2.155,-0.110,-8.763,0.291,2.118,1.379
-2.006,-0.158,-9.060,0.816,2.293,1.185
-2.059,-0.273,-9.055,0.505,1.282,0.933
-2.059,-0.273,-9.055,0.505,1.282,0.933
-2.073,-0.201,-9.136,0.952,0.544,1.069
-2.160,-0.139,-9.017,0.311,0.058,0.835
-2.160,-0.139,-9.017,0.311,0.058,0.835

-4.372,7.178,-9.783,-13.231,3.711,-23.314
-4.621,7.451,-8.466,-14.921,6.858,-24.324
-4.544,7.623,-7.341,-9.364,0.699,-20.361
-4.501,8.002,-6.249,-4.682,-6.722,-17.019
-4.688,7.781,-5.377,-5.712,-7.169,-16.961
-4.688,7.781,-5.377,-5.712,-7.169,-16.961
-4.506,5.852,-4.142,-5.848,5.479,-23.236
-4.166,4.300,-3.740,5.945,0.369,-18.982
-3.539,3.017,-2.868,14.455,-12.182,-8.335
-2.198,2.729,-2.174,21.410,-19.895,5.945
-1.216,2.150,-2.624,26.073,-20.244,11.288
0.599,1.475,-2.351,26.267,-16.825,8.043
4.516,-2.950,-2.629,27.588,-16.980,-8.665
2.806,-5.128,-1.537,15.892,2.157,-35.748
2.806,-5.128,-1.537,15.892,2.157,-35.748
3.180,-13.614,-4.358,33.242,26.636,2.934
6.311,-17.483,-11.732,59.431,9.811,1.418
8.064,-14.394,-14.097,50.961,8.432,-17.971
3.979,-18.335,-13.978,47.172,-8.082,-18.496
1.168,-17.023,-12.958,44.200,-12.764,-34.874
1.168,-17.023,-12.958,44.200,-12.764,-34.874
-0.096,-12.972,-11.253,27.821,3.575,-34.388
-0.924,-9.012,-6.852,-2.934,-7.519,-10.822
-3.074,-10.008,-5.751,3.789,-19.059,-12.667
-3.251,-10.970,-5.315,4.663,-5.401,-8.626
-0.948,-9.256,-7.762,6.897,15.057,1.146
2.346,-7.302,-10.108,20.536,18.438,6.994
