aX,aY,aZ,gX,gY,gZ
-0.792,-0.740,0.445,-74.097,-57.617,167.480
-0.779,-0.496,0.711,-57.739,-73.303,182.861
-0.778,-0.369,0.888,-37.964,-76.599,188.293
-0.780,-0.553,0.949,-27.039,-67.139,180.115
-0.812,-0.749,0.896,-24.536,-53.894,177.734
-0.852,-0.738,0.760,-24.353,-43.091,189.087
-0.869,-0.766,0.601,-23.010,-38.940,200.134
-0.881,-0.863,0.559,-20.996,-42.175,207.703
-0.926,-0.866,0.483,-19.226,-45.166,221.130
-0.980,-0.869,0.238,-15.930,-45.593,236.389
-1.066,-0.974,0.098,-7.263,-57.861,250.916
-1.188,-1.080,0.108,-1.953,-79.651,268.250
-1.176,-0.611,0.350,-7.202,-103.882,298.584
-1.129,0.087,0.653,-6.714,-125.183,322.693
-0.995,0.244,0.856,-5.493,-131.287,311.951
-0.952,-0.046,0.946,-8.362,-129.028,285.522
-0.906,-0.215,0.977,-10.498,-123.657,274.353
-0.873,-0.221,1.052,-13.977,-120.789,276.245
-0.855,-0.311,1.103,-24.353,-111.694,276.611
-0.872,-0.431,1.071,-36.743,-96.375,276.733
-0.927,-0.510,0.906,-46.692,-79.651,281.799
-0.995,-0.609,0.693,-53.284,-66.528,289.001
-1.082,-0.790,0.515,-57.800,-61.401,297.791
-1.177,-0.896,0.482,-52.490,-67.139,313.965
-1.265,-0.672,0.665,-41.016,-83.191,339.783
-1.228,-0.193,0.920,-29.480,-98.755,364.319
-1.124,0.284,1.089,-20.020,-106.628,372.375
-1.007,0.639,1.013,-11.841,-104.370,364.197
-0.910,0.702,0.753,-12.756,-96.863,340.820
-0.825,0.591,0.760,-21.729,-100.769,314.148
-0.953,0.405,1.015,-37.048,-114.929,300.964
-0.704,0.257,1.300,-29.907,-120.300,291.992
-0.705,0.069,1.481,-32.349,-112.671,279.053
-0.745,-0.232,1.377,-35.645,-88.013,276.489
-0.808,-0.379,1.193,-40.283,-69.214,287.964
-0.854,-0.236,1.134,-43.274,-59.021,310.913
-0.811,0.248,1.246,-51.086,-55.298,332.275
-0.662,0.854,1.442,-60.486,-50.293,339.050
-0.517,1.303,1.567,-54.565,-40.771,323.242
-0.451,1.436,1.542,-41.870,-27.649,287.598
-0.373,1.318,1.205,-25.330,-10.010,247.498
-0.413,1.113,1.098,-22.156,-5.310,218.750
-0.263,1.158,1.165,-23.132,-12.634,203.918
-0.223,1.206,1.273,-24.719,-13.428,185.547
-0.240,1.001,1.113,-22.339,-4.211,159.485
-0.235,0.683,0.963,-11.780,-1.709,136.963
-0.229,0.480,1.081,0.916,-11.475,126.770
-0.251,0.384,1.151,7.996,-13.367,124.329
-0.286,0.280,1.152,13.611,-8.606,121.582
-0.254,0.323,1.248,22.217,-9.644,121.521
-0.191,0.544,1.426,32.959,-12.268,123.779
-0.144,0.690,1.429,38.391,-4.089,117.432
-0.126,0.648,1.232,38.391,9.521,101.440
-0.115,0.542,1.109,37.109,16.174,86.304

-0.930,0.954,1.112,-23.804,-26.733,119.141
-0.784,1.212,0.948,-17.334,-21.606,114.746
-0.632,1.658,1.210,-26.611,-32.898,108.643
-0.592,2.111,1.373,-25.452,-39.307,91.919
-0.551,2.195,1.330,-13.916,-30.273,48.157
-0.638,2.447,1.050,-4.883,-20.630,-1.587
-0.771,2.448,0.830,43.396,-22.095,-69.824
-0.856,1.821,0.766,72.021,-39.246,-151.611
-0.941,1.290,1.061,80.627,-71.289,-212.402
-0.954,1.191,1.416,88.135,-86.182,-239.136
-1.006,1.272,1.606,98.572,-77.515,-262.146
-1.076,1.247,1.648,110.779,-55.420,-300.354
-1.114,1.148,1.762,116.211,-31.799,-347.961
-1.216,1.226,1.899,114.746,-5.127,-392.151
-1.265,1.363,2.102,108.887,28.076,-438.110
-1.391,1.515,2.524,111.877,60.059,-494.995
-1.649,1.987,2.853,114.380,109.619,-556.335
-2.452,2.735,2.674,113.953,189.270,-623.352
-3.592,3.200,2.072,134.949,276.306,-723.328
-4.000,3.013,1.018,151.733,357.056,-851.807
